Movie name,PercentGatheredRatio,PercentGatheredDifference,Advertised review count,difference_mr3
Hangover Square,1.0,0,72,72
Henry Fool,1.0,0,86,86
The Hunger Games,1.0017977528089888,4,2229,2225
Honest Thief,1.0018181818181817,1,551,550
Taken,1.0017021276595746,2,1177,1175
Captain America: The Winter Soldier,1.0027223230490019,3,1105,1102
Captain America: Civil War,1.0031867431485022,5,1574,1569
Big Hero 6,0.998422712933754,1,634,633
How to Train Your Dragon,0.9959349593495935,3,738,735
Harry Potter and the Deathly Hallows: Part 2,1.0,0,1112,1112
The Hunger Games: Catching Fire,0.9974905897114178,2,797,795
Spider-Man: Homecoming,0.9951923076923077,7,1456,1449
The Avengers,0.9981060606060606,4,2112,2108
Dune,0.9965992178200986,20,5881,5861
Oppenheimer,0.9988334791484398,4,3429,3425
White House Down,0.9964912280701754,2,570,568
Black Panther,0.9873925501432664,44,3490,3446
Top Gun: Maverick,0.9985932004689332,6,4265,4259
The Hunger Games: Mockingjay - Part 1,1.0,0,683,683
Avatar,0.9979226175019476,8,3851,3843
Divergent,0.998868778280543,1,884,883
Guardians of the Galaxy,0.996875,5,1600,1595
Doctor Strange,0.9966555183946488,4,1196,1192
