stevelivesey67,Jurassic World Dominion,2,23 July 2022
stevelivesey67,Uncharted,5,2 May 2022
stevelivesey67,Angel Has Fallen,7,10 April 2021
stevelivesey67,Dune,9,31 October 2021
FallenEye,Doctor Strange,8,5 November 2016
FallenEye,Avengers: Infinity War,8,1 May 2018
FallenEye,Uncharted,6,14 November 2022
FallenEye,Mission: Impossible - Rogue Nation,6,23 July 2016


Dragonsouls,Jurassic World,6,23 June 2015
Dragonsouls,Captain America: The Winter Soldier,8,7 April 2014
Dragonsouls,The Avengers,7,5 May 2012
Dragonsouls,Avatar,8,22 January 2010

ccthemovieman-1,Mission: Impossible III,9,22 November 2006
ccthemovieman-1,Home Alone,8,3 October 2006
ccthemovieman-1,Hangover Square,9,7 January 2008
ccthemovieman-1,Taken,8,17 May 2009

allmoviesfan,London Has Fallen,8,3 November 2022
allmoviesfan,Home Alone,10,30 October 2022
allmoviesfan,Oppenheimer,8,29 July 2023
allmoviesfan,Top Gun: Maverick,8,29 December 2022


darkwizard404,Honest Thief,7,10 July 2021
darkwizard404,Mission: Impossible - Dead Reckoning Part One,7,15 July 2023
darkwizard404,Honest Thief,7,10 July 2021
darkwizard404,Doctor Strange,8,30 August 2021

robsta23,Big Hero 6,7,12 July 2015
robsta23,Avatar,8,16 March 2016
robsta23,Mission: Impossible III,8,9 August 2015
robsta23,Jurassic Park,9,22 April 2015

SebMoz,How to Train Your Dragon,10,19 November 2020
SebMoz,Guardians of the Galaxy,8,16 November 2020
SebMoz,Mission: Impossible - Ghost Protocol,7,26 November 2020
SebMoz,Captain America: The Winter Soldier,9,14 November 2020
SebMoz,Spider-Man: Homecoming,5,10 December 2020
SebMoz,The Avengers,7,11 November 2020

johnnyboyz,Up,7,16 March 2010
johnnyboyz,Home Alone,6,2 February 2012
johnnyboyz,The Hunger Games,6,5 January 2018
johnnyboyz,Taken,6,3 August 2009
johnnyboyz,Big Hero 6,6,12 March 2019
johnnyboyz,The Hunger Games: Catching Fire,6,18 September 2018

Offworld_Colony,The Maze Runner,1,14 February 2020
Offworld_Colony,Captain America: The Winter Soldier,7,18 February 2020
Offworld_Colony,Spider-Man: Homecoming,8,18 February 2020
Offworld_Colony,Black Panther,7,17 February 2020
Offworld_Colony,Guardians of the Galaxy,7,18 February 2020
Offworld_Colony,Doctor Strange,6,18 February 2020
Offworld_Colony,Mission: Impossible - Fallout,10,12 February 2020
Offworld_Colony,Mission: Impossible - Rogue Nation,8,12 February 2020

mm-39,The Hunger Games,9,25 March 2012
mm-39,Honest Thief,7,23 September 2022
mm-39,Taken,8,1 February 2009
mm-39,Divergent,7,28 March 2014
mm-39,Mission: Impossible - Fallout,6,31 July 2018
mm-39,London Has Fallen,6,15 March 2016
mm-39,The Avengers,6,16 May 2012
mm-39,Top Gun: Maverick,8,14 June 2022

estebangonzalez10,How to Train Your Dragon,8,16 September 2010
estebangonzalez10,Big Hero 6,8,26 December 2014
estebangonzalez10,Harry Potter and the Deathly Hallows: Part 2,10,15 July 2011
estebangonzalez10,White House Down,6,8 September 2013
estebangonzalez10,Avatar,6,16 September 2010
estebangonzalez10,Divergent,6,17 May 2014
estebangonzalez10,Guardians of the Galaxy,9,1 August 2014
estebangonzalez10,Olympus Has Fallen,5,12 July 2013
estebangonzalez10,Up,10,16 September 2010
estebangonzalez10,The Hunger Games: Mockingjay - Part 1,6,21 November 2014

lgao-892-416008,Jurassic World,9,26 July 2015
contactmaz,Ghosts of War,4,23 October 2020
